gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TMPRSS13,43.035817204740894,-4.755781007205803,0.41592033854654603,-11.434355491787473,2.8162007496789795e-30,8.804288403721393e-26
COL11A2,93.2105291440587,-3.4426814380907422,0.3491920461537126,-9.858991566420992,6.267568841375778e-23,9.797150234396547e-19
ENSG00000284874,161.74814109907737,-3.0634671880403133,0.3288516320470764,-9.315651465587878,1.2120640602678886e-20,1.2630919572051666e-16
MS4A10,42.2792666575186,8.44231484714398,0.9334645224477616,9.044066104415261,1.5094991981687607e-19,1.1797868358087492e-15
GALNT3,137.0602049750221,-2.8652571845451478,0.32459848467998376,-8.827081208866263,1.0744278962306177e-18,6.717967863971561e-15
BMP7,46.92611817124007,-5.9114455627178195,0.6843125030123303,-8.638517543806012,5.694711479822629e-18,2.6128947118837965e-14
CTAG1B,38.104418955768715,8.18609220517597,0.947965351307926,8.635433978553607,5.850450367266921e-18,2.6128947118837965e-14
IDI2-AS1,23.257662928002155,-2.544280831325909,0.29833801357308204,-8.528181846000836,1.4866571886332208e-17,5.809670461030048e-14
SMIM32,71.7630207683432,-4.069485494680269,0.49036209174564804,-8.298939830754946,1.0504455018224815e-16,3.284007772347624e-13
GP1BB,205.20334522650415,-3.0512269394532177,0.36756480255128116,-8.301194560182413,1.0306974119855439e-16,3.284007772347624e-13
ENSG00000240801,2083.9926672268784,-3.9805734816669482,0.4851728231020813,-8.204444462111654,2.316595769475738e-16,6.445238546727434e-13
WFDC21P,15.094422332164397,-4.060081272894895,0.49534055682289674,-8.196545219184486,2.4739424418875096e-16,6.445238546727434e-13
COL9A2,226.76885113785835,-2.983310706068013,0.3656318200455543,-8.159330076075765,3.3688785321885466e-16,8.101634580908502e-13
H19,21352.719034513066,-3.13132368518665,0.38516580236540443,-8.129807127103103,4.2997401898040973e-16,9.60162696813182e-13
ZG16,144.64735672037875,3.3866358605958773,0.4187415395723072,8.08765202529204,6.082588636765539e-16,1.2677331236746736e-12
TSPAN1,144.79902050992678,-2.2768153439625536,0.28389804139047076,-8.019834630810442,1.0588762291804073e-15,2.0040666571820793e-12
LRFN1,67.06663990197129,-1.5802546342018937,0.19713011407070757,-8.016302540336786,1.0897589217955843e-15,2.0040666571820793e-12
