gene_id,log2FoldChange,pvalue,padj
IER2,-1.343516667,8.856803173442437e-11,3.146479972856033e-08
SMOC2,-1.911613978,9.110494175744236e-11,3.200240218160585e-08
GRIP2,-2.853585073,1.0586218168431258e-10,3.6772993177740714e-08
ANKDD1A,-1.359667185,1.1042816501558172e-10,3.793753541628716e-08
FRGCA,-2.53030133,1.2071469286168158e-10,4.1020689597116866e-08
ENSG00000290600,-1.672066568,1.2398574584113057e-10,4.123581247054537e-08
ENSG00000306206,2.285001963397937,1.2297603658592895e-10,4.123581247054537e-08
CARNS1,-1.699545279,1.351897789850148e-10,4.448882168851072e-08
DLK1,4.598251636991167,1.610914190654208e-10,5.246042744002344e-08
SUCLG1,0.8312197972850914,1.7744829068478088e-10,5.7191401151322725e-08
HBB,1.9643448198169353,1.84079233112641e-10,5.8723153722454036e-08
FMOD,-1.881310312,1.8878937216107698e-10,5.961739537244192e-08
NLRP2,-2.582220341,2.0009012357551823e-10,6.255417533341426e-08
SDS,2.434977760194377,2.068318273209131e-10,6.402161799538323e-08
NOX1,3.4825691523173807,2.1439338142655215e-10,6.550567135507568e-08
ZNF750,-3.180887737,2.1581691295054205e-10,6.550567135507568e-08
CEROX1,-2.456501562,2.1907616813484778e-10,6.585556004230526e-08
CLEC2L,3.658221208237647,2.2999790143722043e-10,6.848023231077926e-08
CLEC17A,-2.633989354,2.390498442190403e-10,7.050391773414958e-08
FBLN2,-1.951030227,2.454197516496027e-10,7.170614668992082e-08
CIMIP2A,2.6953755929258776,2.486446534778195e-10,7.19757203858988e-08
MAGEA4,7.397904762961218,2.70578242254409e-10,7.690079625090534e-08
BNAT1,-1.86321333,2.702946087267e-10,7.690079625090534e-08
CNOT3,-0.535266469,2.8425666122801395e-10,8.006050450424685e-08
ENSG00000300192,-3.541330578,3.050529740361248e-10,8.466162971787824e-08
GPR27,-2.866250986,3.0616955264009546e-10,8.466162971787824e-08
ATP2B1-AS1,-1.804319842,3.0871719885609563e-10,8.466162971787824e-08
NCOA7,-1.060490672,3.3234715149830695e-10,9.034929562862235e-08
LINGO1,-1.824369418,3.384593158623582e-10,9.121770337762849e-08
NPW,-2.436947389,3.6235159411576855e-10,9.682220416103652e-08
OLFM1,-1.932375597,3.7450468729652566e-10,9.922152575382442e-08
IGHV3-7,-2.980734157,4.0703094203039385e-10,1.0604173617246835e-07
DIRAS1,-2.747490487,4.054340750438124e-10,1.0604173617246835e-07
OLFM4,-4.9609479,4.145869679503148e-10,1.0711762296719579e-07
C1QTNF6,-1.20772542,4.2386436021997913e-10,1.0861697945538695e-07
TYRO3,-1.209166672,4.2742767807330625e-10,1.0863960568785181e-07
AQP5,-5.099031663,4.3950807874380836e-10,1.1080920214328775e-07
JSRP1,-2.464362498,4.744310307019645e-10,1.1865709850268414e-07
NEURL4,-0.679141625,4.918131418005527e-10,1.2202820835008475e-07
ECRG4,-2.568544881,5.072392346612386e-10,1.2486472593082127e-07
ENSG00000293413,-2.372387783,5.290091964818325e-10,1.2920636335634008e-07
RET,-2.115780259,5.583047034036172e-10,1.3530449567835105e-07
ATF4,-0.672748053,5.919680429973845e-10,1.4235920714020946e-07
PROM1,-3.53612908,6.121329064120724e-10,1.460848171996994e-07
PEX14,0.7621504500130674,6.209090546701315e-10,1.4611610702060704e-07
TESMIN,-1.469095394,6.216115610702983e-10,1.4611610702060704e-07
CASR,-3.841937095,6.696863896312027e-10,1.5624183282865887e-07
SFI1,-1.044493056,6.77230969906747e-10,1.5627691169993875e-07
SIGIRR,-1.241200812,6.898318720081741e-10,1.5627691169993875e-07
CD79B,-1.420534681,6.813682938539779e-10,1.5627691169993875e-07
SCUBE2,-1.692973753,6.890678157404947e-10,1.5627691169993875e-07
BEGAIN,-2.141780178,6.976111963778657e-10,1.5690229375799437e-07
TNFRSF13C,-1.961055276,7.959812882422763e-10,1.7774830724513058e-07
SLC26A9,-2.967600462,8.497671842250333e-10,1.8841327291083133e-07
DACT3,-1.724014942,8.579537768474738e-10,1.888887952505815e-07
FABP5P7,-2.385379325,9.489307907772995e-10,2.0744409978949387e-07
PPM1F-AS1,-1.144856678,9.555049217825263e-10,2.0744409978949387e-07
RGMA,-1.559481612,9.824429258664498e-10,2.1182147028526083e-07
AEBP1,-2.024088442,1.0424564512189243e-09,2.2322134270176185e-07
DNAH2,-2.303451684,1.0749201669824294e-09,2.2860700122701828e-07
ZNF439,-1.547125754,1.1025514617825852e-09,2.3289909695749296e-07
