gene_id,log2FoldChange,pvalue,padj
ZNF676,0.9015903924751496,0.0502029626245845,0.15882364101724197
CRIM1-DT,-0.639019487,0.05022629880872849,0.15888139023143566
PYGL,0.3325928895047841,0.05023880599131175,0.15888193343042487
CRLF2,-1.166467395,0.05024171685037201,0.15888193343042487
NAA16,0.20248189858647395,0.050239548023264836,0.15888193343042487
MAGEA8-AS1,0.8683390840719291,0.050248830785677864,0.1588883581321581
DNAI1,1.3936067952157492,0.05025751653832622,0.15889975116683783
ENSG00000306049,-2.268068055,0.05026558521591326,0.15890919108151444
IRS2,0.4287395210215554,0.05027940337233194,0.15893138909456284
SIRPB1,0.48774931584213577,0.0502827741910348,0.15893138909456284
ENSG00000213963,0.24960202814333593,0.05030732850082462,0.15899292467865753
ENSG00000290385,0.5675074230921908,0.050319947949180495,0.15901673230923175
ENSG00000301482,1.2042736504182694,0.050337818546331986,0.15905712767475003
SPDEF,-1.083844607,0.05034369500892912,0.15905961971340588
ENSG00000298593,1.2924865813743889,0.050357502898613,0.15908716785765342
ENSG00000260651,0.7987246009938602,0.05037729822671193,0.1591336237710109
ISOC1,0.27534729215224324,0.05039320709880915,0.1591547443838612
GPR162,0.5887853339463043,0.05039416609589105,0.1591547443838612
AK8,-0.64160312,0.05039995546116227,0.15915695026084
INPP5F,-0.309916838,0.050424947957096164,0.15921979072646172
ZNF99,1.0889155877639312,0.05044134190182794,0.15925547080153976
PCDHGA10,-0.625419763,0.0504647098617977,0.15931316009384847
ENSG00000280407,-0.393871903,0.05050854026010001,0.1594241878076769
FAM120C,-0.213101074,0.050510078374917305,0.1594241878076769
STT3A,-0.170300071,0.050532167373717636,0.15947780623910102
ENSG00000237604,-0.798646127,0.05054997899451683,0.15950181603810856
RABL3,0.16513752108334895,0.05054582665511982,0.15950181603810856
GTF2I-AS1,-0.721274365,0.05056418564844701,0.1595279077077355
ENSG00000297544,0.8038160255935869,0.050568453615573,0.1595279077077355
MTIF2,0.17005171975129943,0.05064000023321694,0.15972138088085766
CIR1,0.1976333994150522,0.050637772361132066,0.15972138088085766
PNPLA8,0.16222573213901814,0.050652663022460215,0.15974520367912576
TM2D1,0.19172343871939324,0.05067708106614019,0.15980609091897727
TM2D3,-0.159109508,0.05068284496147658,0.159808147456444
ENSG00000231863,-2.452756111,0.05069477000286219,0.15982164767228013
SLC6A16,0.49849160694904626,0.05069735086095391,0.15982164767228013
RBPMS2,0.4418378801259317,0.05074619647416061,0.15995950195318442
LINC01732,-1.226167722,0.050757219474391504,0.15997811799857864
NDUFB5,0.16681841370983308,0.05080987304154023,0.16012792952597502
ZP3,-0.572317823,0.050836673349661674,0.1601364464909697
CGRRF1,-0.180548997,0.050831911566771075,0.1601364464909697
ENSG00000288924,0.27032252324758804,0.05082888221854631,0.1601364464909697
PLLP,-0.360954832,0.05082496540387296,0.1601364464909697
FAIM,-0.27053802,0.050838186719856515,0.1601364464909697
UQCC2,-0.215929065,0.05086001104026629,0.1601890514962568
CRYBG1,0.3746909404502595,0.050869562197851215,0.1602029941564846
ENSG00000305873,-0.651621605,0.050881135493274346,0.16022330166460877
ENSG00000288770,-0.876879772,0.050893366385532345,0.16022953809777418
SRSF1,-0.117957483,0.05089253622552115,0.16022953809777418
ENSG00000278997,-0.550530211,0.050911378872705096,0.1602539707709806
PRANCR,0.3634510293381134,0.0509078607084247,0.1602539707709806
ACRV1,-1.053382006,0.05091973594176521,0.16026414021417554
C11orf58,-0.142680397,0.05092760014033389,0.16027275651170309
ADGRB2,-0.667093327,0.050967027757204984,0.1603806933843482
ENSG00000293945,-0.671871745,0.05097405518101584,0.16038666335790036
KRT39,-0.992270522,0.05100427624510899,0.16046560211843033
BCL7B,0.1678053703846407,0.05102576909537712,0.160514215674251
SAMD4B,0.165989401144405,0.05102999678810033,0.160514215674251
ENSG00000259553,0.5866570726813889,0.05105807918779774,0.1605863913126882
RMRP,-0.73124281,0.051072676151282026,0.16061614269364552
ENSG00000286010,1.3304372152816468,0.0511005951483046,0.16063500142514459
RN7SL1,-0.539446105,0.05109526346579671,0.16063500142514459
SYT4,2.6421525499122027,0.05109395319126397,0.16063500142514459
MNT,-0.18164361,0.051093501842203425,0.16063500142514459
LINC02863,0.8424879724544535,0.051104363758260184,0.16063500142514459
ENSG00000267387,-0.442260003,0.05114507429458532,0.16074680382744755
NRL,0.23613460225415236,0.05119696880438228,0.1608452251765052
TRBV6-1,-0.797742359,0.0511864028100774,0.1608452251765052
KAT5,-0.132522125,0.05119577725475407,0.1608452251765052
SORBS2,0.43864370250575935,0.051188367611300224,0.1608452251765052
LINC00623,-0.383566791,0.05120645978630441,0.16085887784357264
KRT8P8,-1.078164108,0.05121483120798817,0.1608690111579759
ZFP2,0.41086868040963065,0.05127084179751736,0.16098024777701972
SURF4,0.1818940870889036,0.05126800469607398,0.16098024777701972
CHMP4B,-0.191825766,0.051262192875894536,0.16098024777701972
ZNF562,-0.174973091,0.0512636061110463,0.16098024777701972
FAM246A,-1.306319455,0.05129375084298921,0.16103600447925
ENSG00000296972,-1.060240977,0.05134680498005008,0.16118638056946535
CYP2T1P,-0.649511558,0.051371121005712145,0.16124652168690548
LANCL1,0.2659430764333922,0.05138651999490659,0.16127866425065404
ENSG00000188850,-1.744601591,0.051394015631618,0.16128599786099915
LINC01622,-1.078016503,0.05140798918566555,0.16131365712249945
TMEM44-AS2,-0.500646304,0.051417939741052625,0.16131522372236373
LINC00113,-2.101536015,0.05141880831632775,0.16131522372236373
MTCO1P12,0.635616209171704,0.051429791483995194,0.16133349098576577
ENSG00000308240,-0.744026084,0.051494191176390224,0.16151930357655137
FDFT1,0.23208839344596638,0.05152186767977566,0.16158990261565273
ENSG00000297191,-1.176741875,0.051527949401647885,0.16159276578831555
ENSG00000293169,1.0146094418062532,0.05160915862458559,0.1618312062267221
ASB11,1.1086143689105656,0.051626118999311445,0.16186815347261796
PACS1,-0.288967596,0.05163428456081089,0.1618775208809297
KDM5B,-0.325708876,0.051655780178234204,0.1619286051409094
DCTN5,0.19436830686980672,0.051666117656033364,0.1619286051409094
ENSG00000280206,0.40944131977458936,0.051661160944050835,0.1619286051409094
ENSG00000261207,1.1007190011275312,0.05168395773555359,0.1619682809429242
ENSG00000266850,-0.464595841,0.05173668724204156,0.1621010275854826
SULF1,-0.695301763,0.05173315489737181,0.1621010275854826
TACR2,-0.545403087,0.051757605044308895,0.16211782451660445
RPL13AP24,1.9400469850896769,0.05175590801521281,0.16211782451660445
ENSG00000288833,-0.350357055,0.051750632027691285,0.16211782451660445
ENSG00000287799,-1.12741057,0.0517681625298793,0.1621210673070149
NBPF14,-0.256210424,0.05176901176873396,0.1621210673070149
HBP1,0.21948030281562034,0.051778908569731004,0.1621358191722256
ARPC5,0.22508570128912953,0.051797052044844284,0.1621582616554371
ENSG00000307319,-0.545538427,0.05180163641214376,0.1621582616554371
CROCCP2,-1.558728584,0.051791866691146854,0.1621582616554371
TAOK2,0.20052882232153563,0.0518136988928309,0.16217978258776256
CCDC149,-0.326654808,0.051844959052318285,0.16226138300656986
ENSG00000287390,1.0986042567483765,0.05185263265027269,0.16226915460915667
SSBL4P,1.0152543918183123,0.051868622173113985,0.16230294615134247
RGS4,-0.547103942,0.05189120980256179,0.1623573751058336
ERVMER34-1,0.8587437088262946,0.05192784357721483,0.16245573639092037
ENSG00000297887,-1.193339542,0.05193633485706158,0.16246604328960537
NPM1,-0.273686807,0.05198289427599043,0.1625954200850714
LY6E-DT,0.7320159732058218,0.052022751033279975,0.16268352724455798
ANP32B,-0.213680169,0.05201755956870467,0.16268352724455798
NAPRT,-0.369134126,0.05202667387618241,0.16268352724455798
GPR137,0.23923529272128383,0.05208520111631576,0.16284574399351073
F8,0.3122888230381665,0.05208896906679165,0.16284574399351073
PRADX,-0.449106112,0.05209704526762562,0.162854707149463
CCNE1,-0.32267987,0.052117103698852266,0.16290112106950794
ENSG00000304224,1.404318298588142,0.05212273209549032,0.16290242662214474
SENCR,-0.468897532,0.05213933007371513,0.1629380124044938
LUC7L3,0.33276381937111166,0.052155927268042045,0.16297358862376796
ENSG00000295937,-0.372181629,0.05217112868624898,0.16300479673377993
ENSG00000287642,-0.814811493,0.05217759799679594,0.16300871851442303
INTU,-0.371498583,0.05218528694452044,0.16301576184980818
MAP1LC3B,-0.221256365,0.05219028117438282,0.16301576184980818
PTAR1,0.2022098048943946,0.05220714156910748,0.16305213455294776
ENSG00000308561,0.6743264727900977,0.052225213055175156,0.16308227383454085
ENSG00000272183,-0.621498229,0.05222722469473253,0.16308227383454085
FLJ46284,-1.549579971,0.052268865947190546,0.16319543191253877
ENSG00000290563,-1.068557063,0.05227390382151947,0.16319543191253877
NDST1-AS1,0.9543566086719114,0.052291298014495204,0.16323343483047065
CXXC5,0.24415114858524775,0.05235037659015959,0.16338522744715575
LINC02772,-1.55976129,0.052348741327673955,0.16338522744715575
TAF1A-AS1,0.4190754719690374,0.052357223211924764,0.1633902844154925
TXNDC12,0.15459190055437413,0.05243669649350191,0.16362011182413636
SLC30A6,0.1529189311586979,0.05244133705907451,0.16362011182413636
RASD2,-0.406390121,0.052464892218954444,0.16367727027653653
POLR1F,0.1942545341210662,0.052481524614913184,0.16371282219477457
ENSG00000291042,-0.385285477,0.052497378355352994,0.16374593829426326
ENSG00000228703,-0.623225849,0.05250642378233476,0.16375781391731162
ENSG00000290714,1.9232349535269264,0.05254246081102454,0.16383515428536527
ENSG00000289886,-0.675498501,0.05254819415736505,0.16383515428536527
MIR1915HG,0.578274460610685,0.052549074338353374,0.16383515428536527
KIF1A,-1.219205489,0.05255742450589925,0.16383515428536527
TMEM246-AS1,1.0248786456237826,0.052555468418108764,0.16383515428536527
EPM2A,0.19941656593844645,0.05257869506166141,0.16385920839420107
LINC01239,0.6231259893976565,0.05257611362220911,0.16385920839420107
SNTB1,0.372494582447442,0.052580864875751684,0.16385920839420107
ENSG00000287103,4.568443899442567,0.052604180916309126,0.1638832997615721
DGKB,0.8712133573704598,0.052595224405590196,0.1638832997615721
C8orf48,-0.704652197,0.05260432182155826,0.1638832997615721
E2F4,0.17838048552657995,0.05261646764055255,0.16390480548491373
ZNF731P,-0.554155565,0.052633082512162796,0.16394022701780867
SLC51A,0.7785646184526106,0.052684781647809896,0.16408491020676239
ENSG00000302030,-0.904180097,0.05269057588997098,0.16408660962726992
FOXO1,0.27800197653387715,0.05273067483000384,0.16416242652961663
ENSG00000189316,0.993657156772036,0.05272652394264967,0.16416242652961663
PEX5L,0.598987746305519,0.052729158637834866,0.16416242652961663
DNAJC14,-0.153110967,0.05276170046043518,0.1642426607084123
ARRDC5,-0.781093698,0.05278314496172327,0.16427670093960722
TRAM2-AS1,0.24087260012549816,0.052778893577375495,0.16427670093960722
SLC9A5,-0.548687507,0.05279551963760637,0.16428005525871311
ENSG00000289088,-0.523549786,0.0527911132850636,0.16428005525871311
DZIP1,-0.499002083,0.05279998705305151,0.16428005525871311
POTEKP,3.3575854149823376,0.05281593158356554,0.1643133116824569
LRATD1,-0.5221469,0.05282754060338274,0.16433307481428402
ENSG00000288875,-1.318944188,0.052847670136094045,0.16436298363158658
FPGS,0.17639774658099666,0.05284496561017686,0.16436298363158658
GIPC3,-0.316483147,0.0528722661441235,0.16442312309397522
ENSG00000296024,1.0652996614866594,0.05288307825433483,0.16444038944353193
MGA,-0.2278153,0.05289674594410868,0.1644665309249796
TMIGD2,-0.651571915,0.05293502648867433,0.16455282222486087
PDLIM7,-0.43967273,0.05293076900895182,0.16455282222486087
SAMD3,-0.513788891,0.052940329991272225,0.16455294656165675
MAGEA3,1.2805067433524129,0.05295969463960484,0.16459677239466808
SNAP25,0.6334301551290733,0.05297473263583881,0.1646271437767623
MARCHF5,-0.172215474,0.0530458976222693,0.16481553342923924
ENSG00000261338,-0.31727197,0.05304585795711441,0.16481553342923924
CBX1,-0.198163271,0.05305894874646473,0.16483970134758294
MIF,-0.343053661,0.05308471309321483,0.16490323486206326
TMEM63B,-0.178560891,0.05308994846581156,0.16490323486206326
SLC22A7,0.7778986929715881,0.053116956236867865,0.16495576124536354
HSPA7,-0.729390878,0.05311741190727297,0.16495576124536354
BTBD10,-0.188343933,0.05312540670843315,0.1649642024161448
FAM161A,0.2717829885142446,0.05316209933878517,0.16504535368703485
ENSG00000307901,-0.899509308,0.053158252053400995,0.16504535368703485
ART3,-0.959807752,0.053207168743656934,0.16516887264749744
ENSG00000300460,-0.707179781,0.05321290688095335,0.1651702847318551
VIPR2,-0.865933226,0.05324645943816987,0.16525802257674027
ENSG00000286830,0.8947271324958425,0.0532536111973916,0.16526381247409705
ENSG00000298140,2.435550296756208,0.05326695458302508,0.1652888140078524
KLHL8,0.20500283384667162,0.053277180852311,0.16530413904186173
BMP5,-0.903358424,0.05329452533568456,0.16534154466304518
ABLIM3,0.4010186427208051,0.053306863204336065,0.1653634118234926
ENSG00000294946,1.4225530394262689,0.05340884092277845,0.1655319315722041
ENSG00000248100,2.0618131007726213,0.053392639904976495,0.1655319315722041
HLMR1,0.8302903027764321,0.05339470176990511,0.1655319315722041
SLC66A1,0.27530459382246336,0.053403148611601885,0.1655319315722041
DGKH,-0.303430783,0.05338657616227818,0.1655319315722041
TCEAL9,-0.373828641,0.053397442705766456,0.1655319315722041
ENSG00000300780,1.0054534940900774,0.05339481676545604,0.1655319315722041
ENSG00000285280,0.8149791092914113,0.053374221442533225,0.1655319315722041
FAM171A1,-0.505943017,0.0534041025451807,0.1655319315722041
PSME2,0.1984803223859802,0.05349790276668112,0.16577509507332264
USP32P2,1.406222333303538,0.053496200223429435,0.16577509507332264
PRKXP1,-0.569503513,0.05352749856107398,0.16583694458025922
ENSG00000235052,1.0643792083693644,0.05352847160411335,0.16583694458025922
SYN3-AS1,0.9530635373147096,0.05355464832587118,0.1658851650264253
ENSG00000298316,1.3513149228705954,0.05355191671890707,0.1658851650264253
ENSG00000253832,-2.100736095,0.05360649939840525,0.16590250464064482
NAXD,0.2339118348291531,0.053582433838225835,0.16590250464064482
CEP68,-0.154342354,0.05357033397429234,0.16590250464064482
ENSG00000260747,0.3333528972790751,0.05360800632952033,0.16590250464064482
ENSG00000267740,0.4026381633332873,0.05360325051934101,0.16590250464064482
JPX,0.19321144714038072,0.05357690304086705,0.16590250464064482
LINC01303,-0.68311387,0.053597200339622814,0.16590250464064482
ENSG00000273175,-0.782022269,0.053602584258140025,0.16590250464064482
ENSG00000287061,-1.166494732,0.053586472747165326,0.16590250464064482
CFAP52,-1.102652754,0.05364333131769812,0.16599539413888909
ENSG00000273483,-0.692458607,0.053672058617018126,0.16606785120188416
TRGV7,0.781616527176814,0.05368533422393356,0.16609248924718803
ENSG00000286518,-1.377126023,0.05372429581895241,0.166196582246973
SYDE2,-0.264141744,0.05375115071138674,0.16623305460427687
ENSG00000287453,1.7270527102380935,0.053752037520219904,0.16623305460427687
ENSG00000250723,2.9239082159094263,0.05374881771758495,0.16623305460427687
TREML4,-1.150187009,0.05381151391673428,0.16639660749930987
ENSG00000285923,-0.776874092,0.05381556787338138,0.16639660749930987
METTL17,-0.243968027,0.05383548665706094,0.1664256554889119
LINC00313,0.5268272286153837,0.053835609313225403,0.1664256554889119
INSM1,1.2059174618690593,0.05385176524931656,0.166459139508541
ENSG00000233288,1.8331543752011639,0.05386091999564883,0.16647097793613141
ENSG00000301813,1.3121270142807324,0.05388157800366513,0.1665019050240766
ZBP1,-0.642888795,0.05387889087514211,0.1665019050240766
ENSG00000308313,1.231915932536565,0.053901998443295566,0.16653208591093482
OSBPL9,-0.257215486,0.05390059736967521,0.16653208591093482
KARS1P2,0.6354723454448797,0.05392061965619188,0.16657315536675166
ENSG00000304142,-0.926854306,0.05395848657249615,0.16667366522240362
LINC02266,1.1952572069344392,0.054013033634756444,0.16682131254038382
ZSWIM4,-0.342640018,0.054016957644701574,0.16682131254038382
ENSG00000302391,1.7318109541790108,0.05402994460787051,0.16684493858908095
SS18L1,0.2839806614490709,0.05404169224918393,0.16686473331222096
CCDC169,1.193561293465306,0.05406636685628844,0.16692443482403174
RGS5,-0.425063595,0.054104179249669135,0.16702383215091574
ENSG00000279536,1.000208121895883,0.05410924645825655,0.16702383215091574
ENSG00000289472,2.5147736668484053,0.054125731727651956,0.16705822401042383
ENSG00000305183,-1.443399584,0.05414270292152647,0.16709410873007718
ENSG00000301240,-1.178001643,0.054148435408184564,0.1670953051195414
ERP44,0.1723609548653006,0.054164901915684446,0.16711312825323624
NRM,-0.289876249,0.05416375903558091,0.16711312825323624
ENSG00000301582,-0.86500423,0.05419321098257448,0.16716764906862094
FSD2,0.7848117402136687,0.05419326754663575,0.16716764906862094
ZNF680,0.2429222541130563,0.05420073161846086,0.1671741784321174
DDHD1-DT,0.4871524336277032,0.05425082211328107,0.16731216846478306
ENSG00000272911,-0.916890901,0.054265684097685715,0.1673414955559231
URB1,0.17553704835978542,0.054273392294428395,0.16734875858572984
ENSG00000294977,1.3330666941128857,0.054290042911741096,0.16738359088261953
WWOX,0.22869309284739714,0.05430309966387191,0.16739083068345764
SLC52A3,-0.645459201,0.054299573074932855,0.16739083068345764
METTL18,-0.18656323,0.05431752318090519,0.16741878410772346
ENSG00000289983,-0.710741637,0.05433878473205811,0.16746780629715424
GHRHR,1.0452325933131417,0.05434936641672562,0.16748390756886083
LIMCH1,-0.482632036,0.05436007657683905,0.16750040153969242
P2RY4,1.0909469075769374,0.054368368340406314,0.1675094411575956
ENSG00000296232,1.231815835145231,0.05442116998805126,0.16765560084119496
TMEM150C,-0.467840398,0.05455323827861479,0.16803208226252728
C1orf226,0.35917297829871236,0.054554125802535006,0.16803208226252728
ENSG00000296848,-1.08322633,0.05456747349179284,0.16805663715633135
ENSG00000214776,-0.854493781,0.054589862271332605,0.1680924716033361
ENSG00000273335,-0.986045016,0.054586238202426064,0.1680924716033361
ENSG00000243349,-1.781829013,0.05463372159866376,0.1680985853681659
ENSG00000308576,2.0400267670014745,0.0546302927290428,0.1680985853681659
SLC10A1,0.8636805113095334,0.0546171604555334,0.1680985853681659
PURG,-1.041404979,0.05460521379594281,0.1680985853681659
THUMPD2,-0.223456032,0.05463486312656923,0.1680985853681659
ENSG00000236114,1.3342856363560267,0.0546156867015473,0.1680985853681659
RNF130,0.2141274368223388,0.05460839476741152,0.1680985853681659
ENSG00000304861,-1.003364019,0.05462723341403473,0.1680985853681659
ENSG00000278966,-0.959099459,0.054649859353729235,0.16812521143568085
ENSG00000290904,-1.001401687,0.05465427258487107,0.16812521143568085
ENSG00000289449,-0.979294244,0.05467817339786987,0.16815468366870978
TACC2,0.19253401510552218,0.05467998957797088,0.16815468366870978
ADGRG4,2.3663516443001478,0.05467342569315571,0.16815468366870978
ENSG00000296923,-1.215976494,0.05469853394548377,0.1681951673785442
PCLO,0.9782380644221269,0.054709357360532236,0.16820930422719896
NAP1L2,0.6669410817639753,0.0547138922907714,0.16820930422719896
AJAP1,-0.881651192,0.054727117533809315,0.16823341941587813
FAM201A,-0.986829441,0.054739354168225805,0.1682544911376702
ENSG00000306204,-1.042346286,0.054764503364606656,0.1682656185442455
GOLM1,-0.354617775,0.05476129858506755,0.1682656185442455
WRN,0.22595948391327264,0.054761663693054644,0.1682656185442455
SUGT1P2,1.0070730463849753,0.05475698998249424,0.1682656185442455
C15orf61,-0.173151264,0.05479397345044766,0.1683396218535127
GAGE1,2.2881477153319785,0.054808356501597086,0.1683672643519141
IGKV2D-40,-1.938502335,0.05482875892389822,0.1684133906698595
HINT1,0.1948144586728169,0.05485397634375263,0.16847429633900562
ESAM-AS1,-0.439223444,0.0548853359840704,0.168554052934184
ENSG00000309217,1.2348706912780985,0.0548946969193036,0.1685662419986434
RPL36AP46,3.7057509209650736,0.05490939764103418,0.16859482404750065
KATNA1,-0.160021638,0.05493387444022722,0.1686411664991508
ZNF300P1,-0.844520849,0.054935279391848245,0.1686411664991508
RXRA,0.281309636045796,0.05496030355661769,0.16869614234652486
JCHAIN,-0.823420209,0.054963979974465095,0.16869614234652486
ERP27,-0.759665198,0.0549737167681857,0.1687094637600657
ENSG00000289035,-1.077712122,0.05500399929458114,0.16876090487394585
ZNF350,-0.274851035,0.05500790338698569,0.16876090487394585
FOXF2,-0.788961286,0.055012071188637754,0.16876090487394585
CD40LG,-0.57046379,0.05500586256470345,0.16876090487394585
LAMC1,-0.30378574,0.055032709078375645,0.16880765148324745
CRACR2A,-0.501380228,0.055057872380130185,0.16886826883351416
FLJ38576,-0.477449235,0.05510349408383568,0.16897504026904903
MFFP1,-2.322085605,0.05510029651817315,0.16897504026904903
ENSG00000279674,-3.289257126,0.05512411328483916,0.16902169023380997
RPL19,-0.193061929,0.05515486574908357,0.16909939863818768
GABRB2,0.9402562284167796,0.055294415204022215,0.16949399965911818
ENSG00000289960,0.5188014546301848,0.05529199433482187,0.16949399965911818
ENSG00000297317,2.9598668628004434,0.05532488272027985,0.16957076553765774
SCGB1A1,2.930357634890449,0.0553542769292929,0.16964422700132184
HLCS,0.24124873884764084,0.055381316427240077,0.16971045828904202
ENSG00000266929,0.3863006434205361,0.05540910012923751,0.16975119779273126
SRP19,-0.177907303,0.055410900216704174,0.16975119779273126
U2AF1L4,-0.375480767,0.05540352959399465,0.16975119779273126
TMEM234,-0.256126217,0.05558728954523711,0.17025819859437127
OXCT2P1,-0.567299524,0.055585426765137114,0.17025819859437127
ACSS2,0.3106917423429932,0.05560019817573344,0.17028105364106136
FLRT2,-0.6846356,0.05566652662284113,0.17046696151850682
HIRA,0.19030347158069588,0.055677258870405054,0.17046696151850682
LINC00881,0.37749280446489786,0.0556732399234245,0.17046696151850682
ENSG00000260249,0.7330894592633845,0.05569442227774988,0.170502812736907
ENSG00000287158,-2.229477724,0.055769470891958606,0.1706308661277725
TEX264,0.20514383143211876,0.055761613005199995,0.1706308661277725
NDNF,-0.90304536,0.05575201729533426,0.1706308661277725
CIAO2A,0.20522842345594727,0.05577445609697429,0.1706308661277725
TMEM64,0.38004549066455623,0.05576379388869239,0.1706308661277725
UNC79,0.569502267830115,0.05574458364926866,0.1706308661277725
ENSG00000265845,-0.958060471,0.05577294361421956,0.1706308661277725
PCNP,-0.145132232,0.05578793139188979,0.1706553913018249
MEIS1,0.29518027363051463,0.05582450522752886,0.1707171580679091
INTS7,-0.204066698,0.05582363808507133,0.1707171580679091
GSDMA,-0.699154629,0.055822326490211654,0.1707171580679091
ENSG00000266993,-0.498634295,0.05586415883388341,0.1708217133825995
IL1R2,0.38127148363092467,0.055876000714366415,0.17082450717125341
RAMP2-AS1,-0.501329849,0.05587401792197432,0.17082450717125341
MTND4LP30,1.2192737807087817,0.0559083756883715,0.17090677120813125
SNED1,0.42523115155449837,0.05592522580795027,0.1709415657444221
PRDM8,-0.655439837,0.05593661303411383,0.1709596571791476
PIK3C2B,-0.337209863,0.055947753514710576,0.17097699101958913
ENSG00000293981,-0.599429198,0.05596489532110533,0.17101265980096922
HCAR3,-0.812789071,0.05598581293624699,0.17104500604577677
ENSG00000280032,0.9048137142244217,0.05598642314769643,0.17104500604577677
SLC20A1,0.2428702103645481,0.05600728142147976,0.17109201085398884
LINC02315,1.110076151010542,0.05602701893027573,0.17113558307935614
CCDC107,-0.266941033,0.05609270740398492,0.1713194911655706
FAM186B,0.41566187383342956,0.05611708589216175,0.17137720584611243
PET117,0.22702622442079293,0.056134117531594994,0.17139573360584573
COA5,0.15080156835974523,0.05612868906213071,0.17139573360584573
ENSG00000298255,-1.980280672,0.056143885816745204,0.1714088185829009
ENSG00000303116,-0.882797423,0.0561544965940781,0.17142447290505453
ENSG00000271918,-0.402290233,0.05616547596665005,0.1714412492819157
RAB40B,-0.283727294,0.05619434228201609,0.17151261571440682
ENSG00000298623,-0.712230709,0.05622047486660343,0.17157562531771017
ENSG00000276529,-0.395569753,0.05624385052080309,0.17159671111855831
KPNB1-DT,-0.349748057,0.05623574406243859,0.17159671111855831
ANKRD30A,-2.038883267,0.056241776481734874,0.17159671111855831
POP7,0.18066045692385127,0.056266714056084424,0.1716354210532048
NKAP,0.15605282253229494,0.056267518484288015,0.1716354210532048
IGHV3-49,-1.050830837,0.05627365555715626,0.17163739450569523
TNFRSF10B,0.17733215145812095,0.05628647855333461,0.17165975797609012
ENSG00000227200,-0.927172638,0.05629469151408931,0.17166805899385232
ENSG00000214243,1.131065413931109,0.056328968630043184,0.1717558320765669
FBXO6,0.2505287927540007,0.05635245704845089,0.1718106948220909
ENSG00000298580,0.4150987952178632,0.056367167628310476,0.17183878708570163
SAMD15,-0.591890197,0.05639240151278473,0.1718654365855127
ARHGEF16,-0.465141524,0.05638951702381841,0.1718654365855127
ENSG00000279265,0.4760127931309317,0.05638687709452422,0.1718654365855127
SLC16A1,0.36265281431406915,0.05642850689098533,0.17193783999957504
CMYA5,-0.470330913,0.056426326358702525,0.17193783999957504
SPRN,-0.59157643,0.056432657653956414,0.17193783999957504
TNFSF13,-0.36891896,0.05649830356866786,0.17212107430006462
ENSG00000272862,-1.08250965,0.05650544625402003,0.17212606121401422
LINC02371,-1.030738772,0.056531020601708615,0.17218718794536403
KLF3-AS1,-0.48411178,0.05658878903390984,0.1723459501481016
SPATA24,0.3448941577259378,0.056594169600499344,0.1723459501481016
ENSG00000261211,-0.386965829,0.05660330950004549,0.172356994730683
TRADD,0.19029113788210633,0.05661828696459012,0.1723858108077504
IGKV1D-13,1.3804813212488378,0.05662479286923428,0.17238883040908282
UHMK1,0.22391280391473284,0.05663584416129896,0.17238890040061233
SFT2D1,-0.288424773,0.05663487754018086,0.17238890040061233
CCDC144NL-AS1,-0.607019578,0.05667364912919902,0.17248717803019362
ENSG00000291214,0.23158782673894684,0.05668990200799848,0.17250305688885112
ZNF433-AS1,-0.306450174,0.05668643295929364,0.17250305688885112
ST6GALNAC5,-0.92516421,0.056727402731546785,0.17257847162778361
ACP1,0.13123634410816457,0.056730733462878886,0.17257847162778361
ZSCAN2-AS1,-0.431125978,0.05674467425263642,0.17257847162778361
LNROP,0.872916936091831,0.05674422361284446,0.17257847162778361
RDH12,0.5339460388179583,0.05674780693898908,0.17257847162778361
ENSG00000285715,0.9829109099382107,0.05673672993368542,0.17257847162778361
PSMA1,-0.123335856,0.05681781681549562,0.17276380112800166
TMEM125,-1.035183537,0.056822689615672384,0.17276380112800166
ENSG00000279407,-0.356529627,0.05682532600835624,0.17276380112800166
ENSG00000289912,-0.806566358,0.05686703139783243,0.17284579368829908
EGOT,-0.788306547,0.05686822336853776,0.17284579368829908
FAM3A,0.21520064886848936,0.05686888122949955,0.17284579368829908
RHEB,0.12655752427547362,0.05688004720789669,0.17286292562073238
ENSG00000285899,3.8739209541597073,0.05690043581942642,0.17290807980391992
SIMC1P1,-0.729169351,0.056907685820875166,0.17291330370473518
POLH-AS1,-0.504320441,0.05693940576280845,0.1729928709779087
RNF32,0.30995616998027536,0.056947286570366976,0.17300000194824436
AKAP17A,-0.253917306,0.05701342195430209,0.17317468147097542
ENSG00000257878,0.5403399894664105,0.05701586528422576,0.17317468147097542
ENSG00000279520,-0.509839434,0.057022110738145934,0.17317682611294505
PLSCR2,-0.870589488,0.05703526693552187,0.17318313424681628
SLBP,-0.18207835,0.05703261630646573,0.17318313424681628
DBH,-0.574283926,0.057047534886141296,0.17320356250805433
MUC3A,0.6468605440309163,0.05706426791190067,0.1732375420207565
COL25A1,0.6870141340870506,0.05707408680972197,0.17325052684069694
NOP14,-0.180724365,0.05711533003664954,0.17334644649926595
FAM13A,-0.435599947,0.05711677527393208,0.17334644649926595
ENSG00000305866,2.2134011944286396,0.057148572487162,0.17340705997532685
ENSG00000288234,-0.844769779,0.05716448069941203,0.17340705997532685
ENSG00000260070,1.030432974826693,0.05715775965790272,0.17340705997532685
ENSG00000287035,1.072075589012746,0.057142989587933714,0.17340705997532685
